,Latitude,Longitude,Easting,Northing,Zone,Date/Local Standard Time,Week No.,PitID,State,Location,Site,HN (cm) A,HN (cm) B,HN (cm) C,AVG HN (cm),SWE (mm) A,SWE (mm) B,SWE (mm) C,AVG SWE (mm),Melt,Comments,date_t2,geometry,nearest_inc,100_int_sd_delta_VV,100_unw_sd_delta_VV,300_int_sd_delta_VV,300_unw_sd_delta_VV,500_int_sd_delta_VV,500_unw_sd_delta_VV,nearest_int_sd_delta_VV,nearest_cor_VV,nearest_unw_sd_delta_VV,100_int_sd_delta_VH,100_unw_sd_delta_VH,300_int_sd_delta_VH,300_unw_sd_delta_VH,500_int_sd_delta_VH,500_unw_sd_delta_VH,nearest_int_sd_delta_VH,nearest_cor_VH,nearest_unw_sd_delta_VH,100_int_sd_delta_HV,100_unw_sd_delta_HV,300_int_sd_delta_HV,300_unw_sd_delta_HV,500_int_sd_delta_HV,500_unw_sd_delta_HV,nearest_int_sd_delta_HV,nearest_cor_HV,nearest_unw_sd_delta_HV,100_int_sd_delta_HH,100_unw_sd_delta_HH,300_int_sd_delta_HH,300_unw_sd_delta_HH,500_int_sd_delta_HH,500_unw_sd_delta_HH,nearest_int_sd_delta_HH,nearest_cor_HH,nearest_unw_sd_delta_HH,300_coh,cor_0.5_300_int_sd_delta_VV,cor_0.5_300_unw_sd_delta_VV,cor_0.6_300_int_sd_delta_VV,cor_0.6_300_unw_sd_delta_VV,Date,"Local 
Time",DEN (kg/m^3) A,DEN (kg/m^3) B,DEN (kg/m^3) C,avg HN (cm),avg SWE (mm),avg DEN (kg/m^3)
20,44.30366,-115.23455,640820.0,4907116.0,11.0,2019-12-18 10:00:00,50,IDBRBS,ID,Boise River Basin,Banner Snotel,40.0,38.0,42.0,40.0,64.0,64.0,70.0,66.0,No, ,2019-12-18 10:00:00,POINT (-115.23455 44.30366),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,44.30365,-115.23456,640819.0,4907115.0,11.0,2020-01-09 10:30:00,1,IDBRBS,ID,Boise River Basin,Banner Snotel,62.5,62.0,62.0,62.2,72.0,64.0,67.0,67.7,No,too much snow for SWE tube - snow was compressed for each sample and then weighed. ,2020-01-09 10:30:00,POINT (-115.23456 44.30365),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,44.30367,-115.2345,640824.0,4907117.0,11.0,2020-01-23 11:00:00,3,IDBRBS,ID,Boise River Basin,Banner Snotel,58.0, , ,58.0,102.0, , ,102.0, ,"forgot SWE tube, instead did density measurements (small 250cc cutter) to solve for SWE; HN=58cm, avg. density=175kg/m3 - (58cm x 175kg/m3)/100 = 102 mm SWE.  ",2020-01-23 11:00:00,POINT (-115.2345 44.30367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,44.30359,-115.23462,640815.0,4907108.0,11.0,2020-01-30 12:00:00,4,IDBRBS,ID,Boise River Basin,Banner Snotel,34.5,35.0,34.5,34.7,42.0,42.0,42.0,42.0, , ,2020-01-30 12:00:00,POINT (-115.23462 44.30359),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,44.30364,-115.23453,640822.0,4907114.0,11.0,2020-02-06 12:00:00,5,IDBRBS,ID,Boise River Basin,Banner Snotel,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,No, ,2020-02-06 12:00:00,POINT (-115.23453 44.30364),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,44.30363,-115.23454,640821.0,4907113.0,11.0,2020-02-13 11:30:00,6,IDBRBS,ID,Boise River Basin,Banner Snotel,16.5,17.0,17.0,16.8,22.0,23.0,24.0,23.0,No, ,2020-02-13 11:30:00,POINT (-115.23454 44.30363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,44.3036,-115.23454,640821.0,4907110.0,11.0,2020-02-19 10:45:00,7,IDBRBS,ID,Boise River Basin,Banner Snotel,15.0,16.0,16.0,15.7,17.0,17.0,18.0,17.3,No, ,2020-02-19 10:45:00,POINT (-115.23454 44.3036),0.9133458733558655,0.12689325213432312,0.13221651315689087,0.12021283060312271,0.12155359238386154,0.11845293641090393,0.1192859634757042,0.10128022730350494,0.5372845530509949,0.14681676030158997,0.11338192969560623,0.11473850160837173,0.11478272825479507,0.11672438681125641,0.11338192969560623,0.11473850160837173,0.08980349451303482,0.6100682020187378,0.12235433608293533,0.11425714939832687,0.11594315618276596,0.11616965383291245,0.1181759387254715,0.11425714939832687,0.11594315618276596,0.09496933221817017,0.6752572059631348,0.11642001569271088,0.11921309679746628,0.12142439186573029,0.12191174924373627,0.1254100352525711,0.11921309679746628,0.12142439186573029,0.10837399214506149,0.6995097994804382,0.12621021270751953,0.505547821521759,0.12343962490558624,0.1245831698179245,0.12565472722053528,0.12626174092292786,,,,,,,,
27,44.30358,-115.23464,640813.0,4907107.0,11.0,2020-02-27 10:30:00,8,IDBRBS,ID,Boise River Basin,Banner Snotel,4.0,3.5,4.0,3.8,5.0,5.0,5.0,5.0,No, ,2020-02-27 10:30:00,POINT (-115.23464 44.30358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,44.30358,-115.23458,640818.0,4907107.0,11.0,2020-03-05 10:40:00,9,IDBRBS,ID,Boise River Basin,Banner Snotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,"feather like crystals on interval board, unusual, but likely that large cryastals dropped from the tree branches above and collected on the board. All pine trees had significant feathery crystal gowth on all branches up to a cm in size on the hike in; absolutely beautiful and very delicate. ",2020-03-05 10:40:00,POINT (-115.23458 44.30358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,44.30359,-115.2346,640816.0,4907108.0,11.0,2020-03-12 10:00:00,10,IDBRBS,ID,Boise River Basin,Banner Snotel,12.0,12.0,12.0,12.0,20.0,19.0,20.0,19.7,Yes,crust layer on top few centimeters,2020-03-12 10:00:00,POINT (-115.2346 44.30359),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,43.75886,-116.09022,573236.0,4845493.0,11.0,2019-12-19 10:00:00,50,IDBRBU,ID,Boise River Basin,Bogus Upper,42.0,40.0,41.0,41.0,94.0,91.0,89.0,91.3,No, ,2019-12-19 10:00:00,POINT (-116.09022 43.75886),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,43.75885,-116.0902,573237.0,4845492.0,11.0,2020-01-08 11:55:00,1,IDBRBU,ID,Boise River Basin,Bogus Upper,20.0,19.2,19.4,19.5,35.0,36.0,34.0,35.0,No, ,2020-01-08 11:55:00,POINT (-116.0902 43.75885),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,43.75881,-116.09022,573236.0,4845487.0,11.0,2020-01-16 11:00:00,2,IDBRBU,ID,Boise River Basin,Bogus Upper,49.0,48.0,49.0,48.7,93.0,100.0,94.0,95.7,No,deep snow on board; 2 tube measurments for each sample.,2020-01-16 11:00:00,POINT (-116.09022 43.75881),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
